Classificador,Erro,Fscore,Precision,Recall
PG,0.05668491541344187,0.05246671785266274,0.054851748038432235,0.05243045448021291
BG,0.05633084203209069,0.052969363946809844,0.055435224254028186,0.054910878438572404
LR,0.05691473531233008,0.05481656165708799,0.05493093131895123,0.05506864402988051
KNN,0.05252810319434244,0.025035604147436944,0.020644417237955265,0.03585152154865254
ENSEMBLE,0.03484316017870406,0.021190392883069554,0.023273091378796386,0.0288567330282142
