mpc;p_entropy;cr;acc;f_measure
1.0;5.0376782119553814e-05;0.011631776325701067;0.28975741239892183;0.04690007878326591
0.9998814874456842;0.00022649957656718152;0.0029816534039123037;0.024932614555256066;0.005556140166263285
1.0;2.7654146269718722e-05;0.002979506538380728;0.013477088948787063;0.0026845637583892616
0.9998987331474938;0.0002704154836491401;0.00859501210223935;0.02358490566037736;0.004654255319148936
1.0;1.3829326068520284e-05;0.002979506538380728;0.02425876010781671;0.005781106293522533
0.9999999999999978;1.4073778709351965e-05;0.011631776325701067;0.02358490566037736;0.0046979865771812086
0.998713184911991;0.001853498902514812;0.01157943876880039;0.0330188679245283;0.00881860769080166
0.9989900734256023;0.001680851158041439;0.011646372652601778;0.03167115902964959;0.008187182703526934
1.0;5.7058803375843763e-05;0.011631776325701067;0.3086253369272237;0.047758081334723666
1.0;1.4094700552095586e-05;0.002979506538380728;0.02628032345013477;0.006328311637657842
1.0;2.8710939730971663e-05;0.011631776325701067;0.1623989218328841;0.02836962919364332
0.99985746724575;0.00029116848168661704;0.004450516651875958;0.0026954177897574125;0.0016771488469601678
1.0;2.8024328716812936e-05;0.002979506538380728;0.10983827493261455;0.022917706910358472
0.999999999099956;2.7965372935969243e-05;0.011631776325701067;0.0006738544474393531;0.003076923076923077
1.0;1.3831628653612948e-05;0.002979506538380728;0.0;0.0
1.0;5.392145360628801e-05;0.011631776325701067;0.30929919137466305;0.05083500441164675
0.9989896894436018;0.0017147909877572557;0.003182007269690671;0.28773584905660377;0.046019300720949195
0.9999999999993326;2.7516810971822006e-05;0.002979506538380728;0.0;0.0
0.9962924821230872;0.00555948566541376;0.008546568441045578;0.020889487870619946;0.004424609373900464
0.9999999999999999;1.4988525626114865e-06;0.011631776325701067;0.0020215633423180594;0.0023166023166023165
1.0;1.4089996079047713e-05;0.002979506538380728;0.0;0.0
0.9546274434994853;0.07195305973411609;0.00021644587755443394;0.0444743935309973;0.06542051175369253
0.9999999984887082;1.236374547802986e-08;0.00859501210223935;0.10983827493261455;0.019975490196078433
0.998990975762205;0.0014669103893252399;0.011593625844311926;0.16442048517520216;0.054456585715382456
1.0;1.4341455749204772e-05;0.002979506538380728;0.16711590296495957;0.030148560748943835
1.0;1.4609132817902108e-05;0.011631776325701067;0.28706199460916443;0.045222929936305736
0.9973811683387432;0.004299531506564917;0.0024109496296597353;0.029649595687331536;0.005835543766578249
0.9996871186045376;0.0004652095408093126;0.0029816534039123037;0.03032345013477089;0.006948781073615948
1.0;1.3126596958712714e-06;0.00859501210223935;0.02358490566037736;0.004654255319148936
0.999999999999977;1.4355470133400955e-05;0.002979506538380728;0.1091644204851752;0.019840783833435398
1.0;4.132770959409656e-05;0.002979506538380728;0.029649595687331536;0.005812417437252312
0.9999985773112972;3.9628816115665764e-05;0.01161533729877153;0.03436657681940701;0.01616391576550939
0.9999392608318969;0.00017046499364621191;0.011631776325701067;0.17048517520215634;0.09430369512770925
1.0;2.7900901466827672e-05;0.0029816534039123037;0.0;0.0
0.9999999988778756;1.060034718146131e-06;0.011631776325701067;0.03167115902964959;0.007224982192793691
1.0;1.4471790754468559e-05;0.002979506538380728;0.29043126684636117;0.0974972977467365
0.9834146647520083;0.024367459826709483;0.005655309804286372;0.1105121293800539;0.02116978642125369
0.9999999540185567;4.155180304158619e-05;0.011631776325701067;0.11118598382749326;0.02234132419546511
1.0;2.754243055092115e-05;0.002979506538380728;0.28706199460916443;0.044865718799368084
1.0;2.7768263876470976e-05;0.002979506538380728;0.013477088948787063;0.0026845637583892616
0.9999999988168101;2.7918224835246418e-05;0.0029816534039123037;0.016846361185983826;0.058240119313944815
0.9484248930549266;0.07717233027954205;-0.0052732914229511535;0.08153638814016173;0.025089679393697478
0.9926015059381804;0.01524052084828523;0.008543608240465876;0.0033692722371967657;0.0006784260515603798
1.0;1.4085390908862463e-05;0.002979506538380728;0.1650943396226415;0.031548334978906745
0.9572196052472904;0.06481120019514108;-0.0031833551792981446;0.026954177897574125;0.0076832302098615805
1.0;5.5373757950648154e-05;0.011631776325701067;0.1623989218328841;0.02836962919364332
0.9994729019033158;0.0010082910715342832;0.011631776325701067;0.30929919137466305;0.05083500441164675
0.9753565465867892;0.03555737203418454;-0.002355082029971036;0.24528301886792453;0.04048943270300334
1.0;1.529574383203192e-05;0.011631776325701067;0.11388140161725067;0.024018473042425277
0.9000541354797544;0.14796476459591293;0.0636137792675108;0.1664420485175202;0.05226917381985359
0.9137303348618877;0.13900723372044915;0.0758814960564877;0.029649595687331536;0.04578252715261449
0.9999999996258699;2.7645261859928944e-05;0.0029816534039123037;0.16442048517520216;0.028471411901983667
1.0;5.538537017897511e-05;0.011631776325701067;0.1650943396226415;0.03004677804060349
0.9318731018404613;0.11618437301585248;0.0009724073932806586;0.16307277628032346;0.06858503125070511
1.0;2.7912612998015368e-05;0.002979506538380728;0.30929919137466305;0.047490946714950855
1.0;5.58020015393719e-05;0.011631776325701067;0.3086253369272237;0.047758081334723666
0.9960326280131503;0.007223669058768797;0.00859501210223935;0.3113207547169811;0.04782608695652175
0.9999984803650898;3.422465117968248e-05;0.011631776325701067;0.026954177897574125;0.05732956552454963
0.9999999982464172;1.3255990060440555e-06;0.00859501210223935;0.10983827493261455;0.019975490196078433
0.9994679955037093;0.0008264160451367997;0.011844771050702075;0.0006738544474393531;0.003076923076923077
0.991095130164659;0.014405511583767445;0.008811956618225746;0.16981132075471697;0.0914116452268111
1.0;0.00010888558725465105;0.011631776325701067;0.03436657681940701;0.00705851628354087
1.0;1.5426078837295735e-05;0.011631776325701067;0.03571428571428571;0.007994508047568941
1.0;1.3833931238705605e-05;0.002979506538380728;0.0006738544474393531;0.0011299435028248588
0.9999999999999901;1.5277124666113092e-05;0.011631776325701067;0.1091644204851752;0.02002472187886279
1.0;4.939926958007569e-05;0.011631776325701067;0.1091644204851752;0.02002472187886279
0.9999999993605696;1.4094595132135129e-05;0.002979506538380728;0.31266846361185985;0.10012252566231927
0.9907802701997174;0.013629033107222249;0.00173537638557758;0.029649595687331536;0.005966101694915254
0.9996550989433205;0.00045480461989422943;0.01161533729877153;0.027628032345013476;0.06594085652909182
1.0;4.1325407009003074e-05;0.002979506538380728;0.16711590296495957;0.030148560748943835
0.9686817440232446;0.045956543707372365;-0.003184769465420519;0.26549865229110514;0.04264069264069264
0.9999995480259727;1.632803381260805e-05;0.003713380376275004;0.28706199460916443;0.044889357218124336
0.9999990572420672;1.7767419941299112e-05;0.002979506538380728;0.02021563342318059;0.003999999999999999
1.0;2.8831965093007117e-05;0.011631776325701067;0.027628032345013476;0.0668975468975469
